Name,Description,Quantity,Price,Why,Link
Joystick,A module that uses potentiometers and a stick to measure values,1,$8.79,So you can do stuff to memorize for the minigame,https://www.amazon.com/DKARDU-Dual-axis-Joystick-Control-Breakout/dp/B0B5GLYPLT/ref=sr_1_6_sspa?dib=eyJ2IjoiMSJ9.azZ62n4Tl8ZwkrheJyqyCndrP1SV71A4xyAr-iuhJYzian_VPAm1-wcJa1kETLtxM4eNGt-xxm1leb5CyeYzA3nBElRKq_MmfamtrXjfZvH7wPZkzrT96BrQEydKYWCSkKjlWEekTF7VWtR9tcMjoZKWhNFTWNypkJJN8fer6AzldJ-0Q4IYCG_6cRPB-GjUYue5LsoKmklUHP6XbxF4PJ9gZ4sy5qI4osEVQvxmUko.qd12qxOC_v7GZmm8GlitAnJ3g7_pRsO_EVmVD7kz0sU&dib_tag=se&keywords=KY-023&qid=1781695753&sr=8-6-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
12mm Button,A tactile switch that either connects a cirucuit or disconnects depending on input,4,$12.07,So you can click stuff to memorize for the minigame,https://www.amazon.com/Uxcell-a11111400ux0132-Momentary-Tactile-Button/dp/B0090VQLDK
12mm Button Caps (Red Green Yellow Blue),The caps to indentify which button is which (Will be 3D printer most likely),4,$0.00,To know which button is which.,can 3D print through hackclub or by yourself
Potentiometer,A module that uses potentiometers and a stick to measure values through rotation,1,$9.99,Another cool function that gives varation and intresting mechanics,https://www.amazon.com/TWTADE-Adjustable-Potentiometer-Resistance-XH2-54-3P/dp/B082FCRQS2/ref=sr_1_11?dib=eyJ2IjoiMSJ9.TaTUlh95QswS_FIIMPYmhtrGpujREngP3Xc1oQRyB9rYfzo5Gjz4PTvWpn5iXK9dcDXyauCQyVTScgKtQiiCgd3LLyPBGxHL-tvGMzznu9_sFYWY9xP6C6awwAKLKjAjD54kWNmqUPUcvBHwoTWNZ5n1v20SmyDv5QPkhg_GJn26vWFLQ7iqdO7V3fx2rxiDINDQcKF5Hye8oN6JiOwa8UQbfrgA9xlyOhBGqnJD3KQ.hsZpGYPSabo9mENvFcCT4852xHdjX3BdothB3Qju_3g&dib_tag=se&keywords=potentiometer&qid=1781262502&sr=8-11&th=1
TFT LCD 2.4 inch ILI9341 Touch,Display used to show what inputs to press next and as well as score and timer,1,$12.39,To see what inputs to do next and other data,https://www.amazon.com/ACEIRMC-ILI9341-Display-Touch-240X320/dp/B0C4D5S6G5/ref=sr_1_10_sspa?crid=1KKGFFL8GGC72&dib=eyJ2IjoiMSJ9.aNbS-hCnwROiq-lihDWLj0bSTkExzZcUEg9Thz-MRRtS2XSDTZusdgq0aD1F0WmFP2z1icua7XtMO6m0dMOpn8SqrOFp1HIlcN4kiqw6-RlV7hZO4ruwCns7e_xrwwarWxaiSyrChwiIRUrUY_RlX9OKgmKKALx-gO4lSBbiMaZfKv6a7KsmvzFghX94ueB0tjP9qSX40MXT01v37X8MMYSJqIt6UnkreQ59ftwFdiegDUDVujNbTPq7P3rk02P9OOVeiCEMzoFH8qXlYbO1NNMZsi5VeRhwTNT7sHwGj98.L9Ilfuyvs66CsTIbDNYf3OsazpswS6k4iaS05y2B6dk&dib_tag=se&keywords=ili9341&qid=1781262418&s=electronics&sprefix=ili%2Celectronics%2C409&sr=1-10-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
ESP-32,The Microcontroller that will control all functions of the minigame as well as logic.,1,$9.99,To control the whole minigame and logic,http://amazon.com/HiLetgo-ESP-WROOM-32-Development-Microcontroller-Integrated/dp/B0718T232Z/ref=sr_1_3?crid=1USIEYMJJ17B2&dib=eyJ2IjoiMSJ9.qMJJKscaTbDZH8KOrPXaSvvBOSev_9dSPToXjxjL2hvyn1gBn6UPJN0hkgfCA46MeGIMW0m_k8uVP6ohS8y2Ybx0WAhwI7WeRI7HGIEx1FzRCBDUpYc9OEv48KKiBbsEpRw-msTD6rmtDv4Xvt-FdBguBvBYlMMj4hzZRICsg1IFudiHZVD_F8MFEsmYWqc5av-fzu7UHVx2QYcllMYcUQXPrnJ9yVsP_ArNuaKStI0.KplrsOIrBP554ZSAFR6EYMaRAuKfkU4c-5f2bEqIvqA&dib_tag=se&keywords=esp32&qid=1781262965&sprefix=esp%2Caps%2C477&sr=8-3&th=1
Half Breadboard,A module used to have extra ports and have more leeway in circuit connections,1,$5.99,For extra ports to connect GND and PWR and other wires too.,https://www.amazon.com/WWZMDiB-SYB-170-Breadboard-Plates-Multicolored/dp/B09YXQJMTG/ref=sr_1_3?crid=2AKGMD1N41ZHO&dib=eyJ2IjoiMSJ9.EQvCK09g_r0CejNbKABqFdsxqhs5KyJ1I0W1Q395qgARL8M_eCKhoj9mKheDOgAb_PUbl3fS3TNz_-PkcA5Ur8CU2_LE8D1_eW4bH6tGqQ7fgX-P_ELVVSjGnskkUdkdZKxuxYHAbqnzcsl53FGLHvlJk3CfdosCvz8g7-GZr3ywx0Ic_oW_dglX5jAHgBxu-roh24M2mq6ot_Jl_-sd2wQRqCW9XuF1Zhf4ILJQ5lI.RYnkEh1qahxXQ1VyEr87oe8Coe7Rg22-y_Lfwkx4oYs&dib_tag=se&keywords=half+breadboard&qid=1781695848&sprefix=half+breadboard%2Caps%2C403&sr=8-3
Dupont Female-Male Wires,Used to connect modules to microcontroller and circuits.,~40,$6.99,"Bruh, so the whole thing can get some electricity.",https://www.amazon.com/Solderless-Multicolored-Electronic-Breadboard-Protoboard/dp/B09FPJM3L9?th=1
3D Printer Enclousure.,The host for all modules necessary in the build,1,$0.00,To put all of the modules into one area ,can print through hackclub or by yourself with step file
M7 Jam Nut,7mm in diameter Jam nut. (Optional because potentiometer has this.),1,$0.00,To Screw in the Potentiometer,not necessary since potentiometer link has the jam nut already
